Kod Hybrydy;Archetyp (Klasa);Motto (Vibe);Twoja Supermoc (Skillset);Błędy Systemowe (Słabości);Questy (Ścieżki Kariery)
AR (Creator+Maker);Wirtuoz;"""Moje ciało jest pędzlem.""";Artysta fizyczny. Musisz czuć materiał. Operator kamery, tancerz, tatuażysta. Twoja ekspresja wymaga perfekcyjnego panowania nad narzędziem.;Frustracja techniczna. Gdy sprzęt zawodzi, Twoja kreatywność umiera. Zależność od technologii/materiałów.;Fotograf, Operator Filmowy, Architekt Wnętrz, Tattoo Artist, Florysta.
AI (Creator+Hacker);Filozof Cyfrowy;"""Kod też może być poezją.""";Intelektualista. Tworzysz skomplikowane uniwersa, systemy magiczne w grach, teorie społeczne. Sztuka, która wymaga myślenia.;"Przerost formy nad treścią. Tworzysz rzeczy tak skomplikowane, że tylko Ty je rozumiesz (""Sztuka dla sztuki"").";Scenarzysta Gier (Lore), Copywriter Techniczny, Reżyser Dokumentalista, Lingwista, Architekt VR.
AS (Creator+Mentor);Ewangelista;"""Mam historię, która zmieni Twoje życie.""";Inspirujesz tłumy. Nauczyciel, który wchodzi na stół. Youtuber, który uczy fizyki przez memy. Używasz sztuki, by edukować.;Gwiazdorzenie. Czasem ważniejszy jest Twój występ niż to, czy uczeń faktycznie coś zrozumiał.;Nauczyciel z pasją, Influencer Edukacyjny, Arteterapeuta, Coach Wizerunku, PR Manager.
AE (Creator+Hustler);Dyrektor Kreatywny;"""Zróbmy z tego markę globalną.""";Masz wizję i umiesz ją sprzedać. Nie tworzysz do szuflady. Steve Jobs vibe – design spotyka biznes.;Narcyzm. Myślisz, że Twój gust jest jedynym słusznym. Trudno Ci przyjąć feedback od klienta.;Producent Muzyczny, Art Director, Założyciel Startupu, Aktor/Celebryta, Twórca Reklam.
AC (Creator+Admin);Kurator / Wydawca;"""Okiełznam ten chaos.""";Uporządkowana kreatywność. Projektujesz layouty gazet, edytujesz filmy, tworzysz biblioteki. Dbasz o to, by sztuka była czytelna.;Zabijanie kreatywności. Możesz tak bardzo skupić się na formacie i zasadach, że zgubisz ducha dzieła.;Edytor Video, Grafik DTP, UX Researcher, Bibliotekarz, Social Media Manager (Strategia).
SR (Mentor+Maker);Opiekun;"""Tu boli? Zaraz przestanie.""";Pomoc bezpośrednia. Pielęgniarka, masażysta, weterynarz. Nie gadasz o pomaganiu, tylko podajesz rękę (dosłownie).;Wypalenie współczuciem. Bierzesz na siebie fizyczny i psychiczny ból innych. Zapominasz o odpoczynku.;Pielęgniarka, Weterynarz, Fryzjer/Stylista, Opiekun Osób Starszych, Fizjoterapeuta.
SI (Mentor+Hacker);Ekspert (Coach);"""Rozumiem Twój problem, oto badania.""";Mędrzec. Ludzie przychodzą do Ciebie po radę życiową, bo wiesz jak działa psychika i społeczeństwo.;Dystans akademicki. Możesz teoretyzować na temat problemów ludzi, zamiast po prostu z nimi pobyć.;Socjolog, HR Business Partner, Doradca Zawodowy, Psychoterapeuta, Mediator Sądowy.
SA (Mentor+Creator);Animator;"""Wszyscy na parkiet!""";Dusza towarzystwa. Integrujesz grupę przez zabawę. Sprawiasz, że ludzie czują się dobrze i wychodzą ze skorupy.;"Bycie ""People Pleaser"". Robisz wszystko, żeby inni Cię lubili, tracąc własne zdanie.";Przewodnik, Animator Kultury, Streamer, Organizator Ślubów, Nauczyciel Przedszkolny.
SE (Mentor+Hustler);Lider Zespołu;"""Idziemy tam razem. Ufacie mi?""";Przywództwo służebne. Ludzie idą za Tobą, bo dbasz o nich, a nie dlatego, że musisz. Budujesz Dream Teamy.;Manipulacja. Znasz ludzi tak dobrze, że wiesz, w jakie struny uderzyć, by zrobili to, co chcesz.;Team Leader, Scrum Master, Rekruter (Headhunter), Polityk Lokalny, Manager Hotelu.
SC (Mentor+Admin);Host / Sekretarz;"""Wszystko jest przygotowane na Wasze przybycie.""";Dbasz o komfort innych z tylnego fotela. Pamiętasz o urodzinach, kawie i biletach. Serce biura.;Bycie niedocenianym. Robisz czarną robotę organizacyjną, a oklaski zbiera kto inny.;Office Manager, Asystent Zarządu, Stewardessa, Recepcjonista, Customer Success.
ER (Hustler+Maker);Producent;"""Kupię tanio, przerobię, sprzedam drogo.""";Biznesmen w kasku. Lubisz widzieć, za co ludzie płacą. Inwestujesz w nieruchomości, fabryki, sprzęt. Konkretny zysk.;Materializm. Wartość człowieka oceniasz przez pryzmat tego, co posiada lub co zbudował.;Kierownik Budowy, Rolnik Biznesmen, Deweloper Gier Indie, Właściciel Restauracji, Inżynier Sprzedaży.
EI (Hustler+Hacker);Konsultant Strategiczny;"""Sprzedam Ci rozwiązanie Twojego problemu za milion.""";Jesteś drogi, bo wiesz rzeczy, których inni nie wiedzą. Sprzedajesz wiedzę i dostęp. Wilki z Wall Street (wersja analityczna).;Arrogancja. Uważasz, że jesteś najmądrzejszy w pokoju. Traktujesz klientów z góry.;Konsultant Big4, Prawnik Korporacyjny, Product Manager, Lobbyista, Makler.
EA (Hustler+Creator);Showman;"""Patrzcie na mnie, to jest przyszłość.""";Sprzedajesz idee i emocje. Jesteś twarzą marki. Twoja energia przyciąga inwestorów jak magnes.;"Składanie obietnic bez pokrycia. Sprzedajesz wizję, której Twój zespół nie jest w stanie dowieźć (""Vaporware"").";Prezenter, Rzecznik Prasowy, CMO (Marketing), Youtuber Biznesowy, Mówca Motywacyjny.
ES (Hustler+Mentor);Sprzedawca Relacyjny;"""Kup to ode mnie, bo jesteśmy kumplami.""";Nie wciskasz kitu. Budujesz sieć kontaktów na lata. Twoim kapitałem jest notes z telefonami.;Zacieranie granic. Mieszasz przyjaźń z biznesem, co kończy się kwasem, gdy chodzi o pieniądze.;Agent Nieruchomości, Key Account Manager, Fundraiser, Agent Ubezpieczeniowy, Dyrektor Szkoły.
EC (Hustler+Admin);Dyrektor Finansowy (CFO);"""Pokaż mi cyfry, a powiem Ci, czy zarabiamy.""";Król KPI. Zarządzasz firmą przez Excela. Optymalizujesz koszty, pilnujesz marży. Zero sentymentów.;"Biurokracja. Możesz zabić innowację w firmie, bo ""nie ma na to budżetu"" w tabelce.";Project Manager, Dyrektor Finansowy, Kierownik Sklepu, Bankier, Logistyk E-commerce.
CR (Admin+Maker);Technik Precyzyjny;"""Procedura A wykonana. Przechodzę do B.""";Człowiek od zadań specjalnych. Montażysta, administrator sieci. Jeśli jest instrukcja, wykonasz ją perfekcyjnie.;"Brak inwencji. Gdy system pada i nie ma procedury, nie wiesz co zrobić. Panika przed ""nieznanym"".";Technik Dentystyczny, Administrator Sieci, Archiwista, Serwisant Elektroniki, Laborant.
CI (Admin+Hacker);Data Scientist;"""Wzór w danych jest jasny.""";Widzisz przyszłość w tabelkach. Tworzysz raporty, które decydują o losach korporacji. Fakty, nie opinie.;"""Tunnel Vision"". Patrzysz tylko na dane, zapominając, że za nimi stoją ludzie i emocje.";Księgowy, Analityk Ryzyka, Programista SQL, Urzędnik Skarbowy, Statystyk Sportowy.
CA (Admin+Creator);Designer Informacji;"""Uporządkujmy ten bałagan wizualny.""";Składasz książki, projektujesz instrukcje, tworzysz mapy. Twoja sztuka ma być czytelna i użyteczna.;Pedantyzm. Możesz kłócić się godzinę o wielkość czcionki, opóźniając cały projekt.;Grafik DTP, Webmaster, UX Designer (Architektura Info), Kartograf, Korektor.
CS (Admin+Mentor);Urzędnik Obywatelski;"""Proszę wypełnić ten druk, pomogę Pani.""";Pomagasz ludziom przejść przez system. Dziekanat, rejestracja, urząd. Tłumaczysz biurokrację na ludzki.;"Rutyna. Po 5 latach możesz stać się ""Panią z Dziekanatu"", która nienawidzi studentów. Wypalenie nudą.";HR (Kadry i Płace), Bibliotekarz, Rejestratorka Medyczna, Dyspozytor 112, Administrator Spółdzielni.
CE (Admin+Hustler);Chief of Staff;"""Szef wymyślił, ja dowożę.""";Prawa ręka lidera. Operacyjnie ogarniasz biznes. Dbasz o compliance, umowy i przepływ informacji.;"Bycie ""zderzakiem"". Zbierasz baty za decyzje szefa, a rzadko dostajesz nagrody.";Business Operations Manager, Compliance Officer, Audytor Wewnętrzny, Zarządca Nieruchomości, Logistyk.
